Gradiente;Código CBO;Título da Família Ocupacional;Correlato ISCO-08;codigo_cbo_4;total_vinculos_ativos
Gradiente 2;2544;Fiscal de tributos estadual ou municipal;3352 - Government Tax and Excise Officials;2544;38205
0;7633;;;7633;38189
Gradiente 4;4121;Datilógrafos, digitadores e operadores de transmissão de dados;4132 - Data Entry Clerks;4121;38101
0;9101;;;9101;37896
0;1427;;;1427;37482
0;7630;;;7630;36945
Gradiente 3;2611;Profissionais do jornalismo e Editores;2642 / 2641 - Journalists / Authors;2611;36859
0;7610;;;7610;35917
0;9112;;;9112;34841
Gradiente 2;1417;Diretores e Gerentes em instituições de interm. financeira;1346 - Financial and Insurance Branch Managers;1417;34818
0;8401;;;8401;34611
0;3251;;;3251;34278
0;7250;;;7250;34241
0;2143;;;2143;34154
0;9531;;;9531;34067
0;3425;;;3425;33491
0;1424;;;1424;33466
0;1312;;;1312;33443
0;2711;;;2711;33429
0;2233;;;2233;32988
0;8281;;;8281;32749
0;7642;;;7642;32690
0;2344;;;2344;32545
0;7165;;;7165;31914
0;7613;;;7613;31705
0;2144;;;2144;31640
0;8181;;;8181;31495
0;7154;;;7154;31434
Gradiente 3;2612;Profissionais da informação (Biblio.), Tradutores e Intérpretes;2622 / 2643 - Librarians / Translators;2612;30999
0;2212;;;2212;30629
0;7523;;;7523;30004
0;9191;;;9191;29990
0;8623;;;8623;29951
0;1210;;;1210;29719
0;7731;;;7731;29164
0;5121;;;5121;29164
0;2252;;;2252;29055
0;8233;;;8233;28617
0;2412;;;2412;28265
0;9541;;;9541;27695
0;8118;;;8118;27693
0;7163;;;7163;27397
0;7733;;;7733;27279
0;7122;;;7122;26912
0;7164;;;7164;25947
0;7222;;;7222;25936
0;9501;;;9501;25845
Gradiente 2;3511;Técnicos em contabilidade e em administração;3313 / 3339 - Accounting Assoc. / Bus. Services;3511;25670
0;7827;;;7827;25464
0;7211;;;7211;25246
0;8415;;;8415;25110
0;3003;;;3003;25035
0;2221;;;2221;24878
0;7111;;;7111;24780
0;8622;;;8622;24383
0;3123;;;3123;24139
0;1426;;;1426;24022
0;3951;;;3951;24002
0;5231;;;5231;23812
0;6420;;;6420;23446
0;7618;;;7618;22846
Gradiente 2;3543;Analistas de comércio exterior e Leiloeiros/avaliadores;3324 / 3315 - Trade Brokers / Valuers;3543;22757
0;1411;;;1411;22051
Gradiente 3;2122;Engenheiros de computação e Administradores de TI;2512 / 2521 - Software Developers / DB Admins;2122;21805
0;2032;;;2032;21778
0;3117;;;3117;21645
0;5103;;;5103;21611
0;2238;;;2238;21436
0;3321;;;3321;21323
0;6232;;;6232;21051
0;7257;;;7257;21048
0;6226;;;6226;21043
0;5192;;;5192;20682
0;7652;;;7652;20649
0;7201;;;7201;20557
Gradiente 2;4212;Coletadores de apostas e de jogos;4212 - Bookmakers and Croupiers;4212;20430
0;7202;;;7202;20363
0;8321;;;8321;20350
0;3185;;;3185;20334
0;1112;;;1112;20217
0;1113;;;1113;20089
0;3313;;;3313;20042
0;3186;;;3186;20029
0;2041;;;2041;19778
0;8212;;;8212;19661
0;2141;;;2141;19570
Gradiente 1;4151;Auxiliares de serviços de documentação, informação e pesquisa;4415 - Filing and Copying Clerks;4151;19374
0;7661;;;7661;18862
0;9111;;;9111;18856
0;3221;;;3221;18675
0;7213;;;7213;18563
0;5161;;;5161;18336
0;3252;;;3252;18055
0;5165;;;5165;18034
0;7157;;;7157;17892
0;3134;;;3134;17885
0;7614;;;7614;17764
0;2347;;;2347;17622
0;1311;;;1311;17377
0;3731;;;3731;17310
0;1115;;;1115;17155
0;3188;;;3188;16502
0;8111;;;8111;16321
Gradiente 2;1233;Diretores e Gerentes de comercialização e marketing;1221 - Sales and Marketing Managers;1233;16211
0;8601;;;8601;16082
Gradiente 2;2541;Auditor fiscal da receita federal;3352 - Government Tax and Excise Officials;2541;16011
0;6224;;;6224;15974
0;9999;;;9999;15847
0;5111;;;5111;15594
0;3523;;;3523;15431
0;7831;;;7831;15236
Gradiente 2;3722;Operadores de rede de teleprocessamento e afins;3511 - ICT Operations Technicians;3722;15170
0;2534;;;2534;15128
0;1413;;;1413;15101
0;7113;;;7113;15098
0;7643;;;7643;15042
0;3115;;;3115;15021
0;2110;;;2110;14822
0;7223;;;7223;14812
0;2348;;;2348;14486
0;7612;;;7612;14437
Gradiente 2;2617;Locutores, comentaristas e repórteres de rádio e televisão;2656 - Announcers on Radio and Television;2617;14338
Gradiente 2;2543;Auditor-fiscal do trabalho;3352 - Government Tax and Excise Officials;2543;14309
0;3771;;;3771;14283
0;8331;;;8331;14242
0;2422;;;2422;14215
0;3744;;;3744;14181
0;7683;;;7683;14130
0;7603;;;7603;14012
0;9102;;;9102;13774
0;2031;;;2031;13576
0;7232;;;7232;13563
0;8413;;;8413;13430
0;2423;;;2423;13269
0;1020;;;1020;13266
0;8481;;;8481;13222
0;8113;;;8113;13039
0;7601;;;7601;13032
0;7721;;;7721;13032
0;9192;;;9192;13015
Gradiente 4;4231;Despachantes documentalistas e afins;4419 - Clerical Support Workers NEC;4231;12648
0;6227;;;6227;12529
0;7826;;;7826;12296
Gradiente 2;3711;Técnicos em biblioteconomia;4411 - Library Clerks;3711;12219
0;3180;;;3180;12218
0;7301;;;7301;12198
0;2030;;;2030;11942
0;2211;;;2211;11891
0;3143;;;3143;11756
0;8213;;;8213;11730
0;3122;;;3122;11706
Gradiente 3;4241;Entrevistadores e recenseadores;4227 - Survey and Market Research Interviewers;4241;11642
0;7701;;;7701;11517
0;3741;;;3741;11205
0;3751;;;3751;11131
0;6223;;;6223;11074
0;2239;;;2239;11060
0;9503;;;9503;10989
0;2153;;;2153;10982
0;7121;;;7121;10960
Gradiente 4;3532;Técnicos em operações e serviços bancários;3311 - Securities and Finance Dealers;3532;10757
0;6326;;;6326;10508
0;3424;;;3424;10499
0;9911;;;9911;10295
0;5131;;;5131;10089
0;2033;;;2033;9779
0;3001;;;3001;9748
0;2145;;;2145;9723
0;8110;;;8110;9592
0;2545;;;2545;9564
0;3184;;;3184;9406
0;8102;;;8102;9294
0;5166;;;5166;9171
0;2021;;;2021;9110
0;2011;;;2011;8884
0;3114;;;3114;8844
0;7411;;;7411;8813
0;2020;;;2020;8813
0;6430;;;6430;8776
0;8484;;;8484;8740
0;8411;;;8411;8720
0;7604;;;7604;8531
0;3212;;;3212;8480
0;7101;;;7101;8364
0;2151;;;2151;8356
0;7734;;;7734;8289
0;8101;;;8101;8270
0;3120;;;3120;8236
0;2621;;;2621;8131
0;3135;;;3135;8049
Gradiente 3;2614;Profissionais da informação (Biblio.), Tradutores e Intérpretes;2622 / 2643 - Librarians / Translators;2614;8034
0;9141;;;9141;8015
0;3163;;;3163;8008
0;9153;;;9153;7983
0;2424;;;2424;7958
0;6301;;;6301;7917
0;9193;;;9193;7774
0;2140;;;2140;7760
0;7522;;;7522;7706
0;8232;;;8232;7681
0;8114;;;8114;7632
0;6322;;;6322;7566
0;3412;;;3412;7504
0;7620;;;7620;7387
0;8611;;;8611;7271
0;8417;;;8417;7221
0;7254;;;7254;7220
0;7224;;;7224;7167
0;3148;;;3148;7120
0;2132;;;2132;7033
0;3721;;;3721;6983
0;5164;;;5164;6829
