Gradiente;Código CBO;Título da Família Ocupacional;Correlato ISCO-08;codigo_cbo_4;total_vinculos_ativos
0;3331;;;3331;13
0;1221;;;1221;13
0;3523;;;3523;13
0;3741;;;3741;13
0;7612;;;7612;12
0;3161;;;3161;12
0;6225;;;6225;12
0;7301;;;7301;12
0;7111;;;7111;12
0;7214;;;7214;12
0;2148;;;2148;12
0;3518;;;3518;12
0;7741;;;7741;12
0;3188;;;3188;12
0;6301;;;6301;11
0;7630;;;7630;11
0;7821;;;7821;11
0;7610;;;7610;11
0;3186;;;3186;11
0;6226;;;6226;11
0;5231;;;5231;10
0;3732;;;3732;10
0;2348;;;2348;10
0;8281;;;8281;10
0;7165;;;7165;10
0;8233;;;8233;10
0;7245;;;7245;9
0;9111;;;9111;9
0;7640;;;7640;9
0;2035;;;2035;9
0;7606;;;7606;8
0;2033;;;2033;8
0;7661;;;7661;8
0;7257;;;7257;8
0;3721;;;3721;8
0;2132;;;2132;8
0;7643;;;7643;8
0;8625;;;8625;8
0;2146;;;2146;8
0;7734;;;7734;8
0;7164;;;7164;8
0;1418;;;1418;7
Gradiente 3;2614;Profissionais da informação (Biblio.), Tradutores e Intérpretes;2622 / 2643 - Librarians / Translators;2614;7
0;9192;;;9192;7
0;2429;;;2429;7
0;8117;;;8117;7
0;2212;;;2212;7
0;3227;;;3227;7
0;3163;;;3163;7
Gradiente 1;2133;Físicos e Profissionais das ciências atmosféricas/espaciais;2111 / 2112 - Physicists / Meteorologists;2133;7
0;7254;;;7254;6
0;7651;;;7651;6
0;7603;;;7603;6
0;7721;;;7721;6
0;3221;;;3221;6
0;8214;;;8214;6
0;7211;;;7211;6
0;7623;;;7623;6
Gradiente 2;2511;Pesquisadores sociais (Sociólogos, Antropólogos) e Filósofos;2632 / 2633 - Sociologists / Philosophers;2511;6
0;2252;;;2252;6
0;7731;;;7731;5
0;9151;;;9151;5
0;2424;;;2424;5
0;7733;;;7733;5
Gradiente 2;4212;Coletadores de apostas e de jogos;4212 - Bookmakers and Croupiers;4212;5
0;7161;;;7161;5
0;7633;;;7633;5
0;6110;;;6110;5
0;7663;;;7663;5
0;3524;;;3524;5
0;6233;;;6233;5
0;8115;;;8115;5
0;2034;;;2034;5
0;2627;;;2627;4
0;7201;;;7201;4
0;3146;;;3146;4
0;3148;;;3148;4
0;2622;;;2622;4
Gradiente 1;1225;Dir. e Gerentes de op. em empresas de turismo/hotelaria;1411 - Hotel Managers;1225;4
0;7221;;;7221;4
0;7652;;;7652;4
0;8481;;;8481;4
0;7601;;;7601;4
0;7157;;;7157;4
0;2623;;;2623;4
0;2236;;;2236;4
0;7223;;;7223;4
0;2413;;;2413;4
0;6430;;;6430;4
0;8213;;;8213;4
0;3213;;;3213;4
0;8202;;;8202;3
0;3180;;;3180;3
Gradiente 2;2617;Locutores, comentaristas e repórteres de rádio e televisão;2656 - Announcers on Radio and Television;2617;3
0;5164;;;5164;3
0;7813;;;7813;3
0;3242;;;3242;3
0;3142;;;3142;3
0;7213;;;7213;3
0;7255;;;7255;3
0;8415;;;8415;3
0;8413;;;8413;3
0;7613;;;7613;3
0;3001;;;3001;3
0;7614;;;7614;3
0;2629;;;2629;3
0;7252;;;7252;3
0;2238;;;2238;3
0;8212;;;8212;3
0;1142;;;1142;3
0;7163;;;7163;3
0;7701;;;7701;2
0;3251;;;3251;2
0;7121;;;7121;2
0;6313;;;6313;2
0;8101;;;8101;2
0;8418;;;8418;2
0;7122;;;7122;2
0;7604;;;7604;2
0;7654;;;7654;2
0;9542;;;9542;2
0;8301;;;8301;2
0;7251;;;7251;2
Gradiente 1;3713;Técnicos em artes gráficas;7321 - Pre-press Technicians;3713;2
0;5166;;;5166;2
0;8118;;;8118;2
0;3182;;;3182;2
0;3241;;;3241;2
0;2222;;;2222;2
0;7828;;;7828;2
0;7113;;;7113;2
0;7618;;;7618;2
0;2030;;;2030;2
0;6120;;;6120;2
0;2342;;;2342;2
0;7202;;;7202;2
0;2239;;;2239;2
0;8232;;;8232;2
0;2341;;;2341;2
0;2626;;;2626;1
0;4242;;;4242;1
0;7622;;;7622;1
Gradiente 1;2131;Físicos e Profissionais das ciências atmosféricas/espaciais;2111 / 2112 - Physicists / Meteorologists;2131;1
0;3112;;;3112;1
0;5161;;;5161;1
0;9143;;;9143;1
0;2631;;;2631;1
0;8416;;;8416;1
0;7232;;;7232;1
0;7312;;;7312;1
0;3763;;;3763;1
0;7641;;;7641;1
0;2012;;;2012;1
0;8417;;;8417;1
0;5115;;;5115;1
0;8110;;;8110;1
0;2422;;;2422;1
0;6323;;;6323;1
0;8111;;;8111;1
0;6326;;;6326;1
0;2628;;;2628;1
Gradiente 2;3711;Técnicos em biblioteconomia;4411 - Library Clerks;3711;1
0;3322;;;3322;1
0;2253;;;2253;1
0;7421;;;7421;1
0;2152;;;2152;1
0;7411;;;7411;1
0;9153;;;9153;1
0;5192;;;5192;1
0;8624;;;8624;1
0;2392;;;2392;1
0;9142;;;9142;1
0;9502;;;9502;1
0;7751;;;7751;1
0;7686;;;7686;1
0;3183;;;3183;1
0;6223;;;6223;1
0;1141;;;1141;1
0;7114;;;7114;1
0;9543;;;9543;1
