sigla_uf;Gradiente;Código CBO;Título da Família Ocupacional;total_vinculos_ativos
BA;Gradiente 3;3517;Técnicos e Corretores de seguros;336
BA;Gradiente 3;4221;Recepcionistas em geral e Operadores de telefonia;99
BA;Gradiente 3;2522;Economistas, Contadores, Auditores e Peritos contábeis;99
BA;Gradiente 3;2523;Secretárias executivas e bilíngues;60
BA;Gradiente 3;3545;Técnicos e Corretores de seguros;48
BA;Gradiente 3;2512;Economistas, Contadores, Auditores e Peritos contábeis;15
BA;Gradiente 3;3514;Serventuários da justiça e afins;13
BA;Gradiente 3;2612;Profissionais da informação (Biblio.), Tradutores e Intérpretes;12
BA;Gradiente 3;3171;Técnicos de desenvolvimento de sistemas e aplicações;7
BA;Gradiente 4;4110;Agentes, assistentes e auxiliares administrativos;2026
BA;Gradiente 4;2525;Profissionais de administração econômico-financeira;328
BA;Gradiente 4;3532;Técnicos em operações e serviços bancários;152
BA;Gradiente 4;4131;Auxiliares de contabilidade, folha de pagamento e faturamento;84
BA;Gradiente 4;2124;Analistas de Tecnologia da Informação (Web e Multimídia);69
BA;Gradiente 4;4223;Operadores de telemarketing (Ativo, receptivo e técnico);52
BA;Gradiente 4;4231;Despachantes documentalistas e afins;6
BA;Gradiente 4;3515;Técnicos em secretariado, taquígrafos e estenotipistas;6
BA;Gradiente 4;4121;Datilógrafos, digitadores e operadores de transmissão de dados;4
CE;0;2532;Não mapeado no estudo original;1188
CE;0;1421;Não mapeado no estudo original;707
CE;0;5143;Não mapeado no estudo original;145
CE;0;7170;Não mapeado no estudo original;114
CE;0;2410;Não mapeado no estudo original;56
CE;0;7152;Não mapeado no estudo original;53
CE;0;5174;Não mapeado no estudo original;49
CE;0;5191;Não mapeado no estudo original;42
CE;0;2142;Não mapeado no estudo original;41
CE;0;3542;Não mapeado no estudo original;37
CE;Gradiente 1;5211;Caixas, bilheteiros e Operadores do comércio (Balconistas);442
CE;Gradiente 1;4211;Caixas, bilheteiros e Operadores do comércio (Balconistas);133
CE;Gradiente 1;7823;Motoristas de veículos de pequeno e médio porte (Táxi);44
CE;Gradiente 1;4122;Contínuos (Office-boys / Mensageiros);23
CE;Gradiente 1;2394;Programadores, avaliadores e orientadores de ensino;6
CE;Gradiente 1;1415;Dir. e Gerentes de op. em empresas de turismo/hotelaria;1
CE;Gradiente 1;1225;Dir. e Gerentes de op. em empresas de turismo/hotelaria;1
CE;Gradiente 2;3541;Técnicos de vendas especializadas e Rep. comerciais autônomos;441
CE;Gradiente 2;1423;Diretores e Gerentes de comercialização e marketing;394
CE;Gradiente 2;1417;Diretores e Gerentes em instituições de interm. financeira;326
CE;Gradiente 2;4101;Supervisores administrativos e de serviços financeiros;277
CE;Gradiente 2;5241;Vendedores em domicílio;204
CE;Gradiente 2;2521;Administradores e Profissionais de recursos humanos;171
CE;Gradiente 2;5201;Supervisores de vendas e de prestação de serviços;156
CE;Gradiente 2;2524;Administradores e Profissionais de recursos humanos;72
CE;Gradiente 2;4213;Cobradores e afins;69
CE;Gradiente 2;4102;Supervisores administrativos e de serviços financeiros;55
CE;Gradiente 3;4132;Escriturários de serviços bancários (Caixas, compensadores);9116
CE;Gradiente 3;2522;Economistas, Contadores, Auditores e Peritos contábeis;203
CE;Gradiente 3;3517;Técnicos e Corretores de seguros;200
CE;Gradiente 3;4221;Recepcionistas em geral e Operadores de telefonia;44
CE;Gradiente 3;2523;Secretárias executivas e bilíngues;40
CE;Gradiente 3;3545;Técnicos e Corretores de seguros;32
CE;Gradiente 3;2512;Economistas, Contadores, Auditores e Peritos contábeis;30
CE;Gradiente 3;4222;Recepcionistas em geral e Operadores de telefonia;27
CE;Gradiente 3;3171;Técnicos de desenvolvimento de sistemas e aplicações;26
CE;Gradiente 3;2123;Engenheiros de computação e Administradores de TI;14
CE;Gradiente 4;4110;Agentes, assistentes e auxiliares administrativos;1552
CE;Gradiente 4;2525;Profissionais de administração econômico-financeira;358
CE;Gradiente 4;2124;Analistas de Tecnologia da Informação (Web e Multimídia);98
CE;Gradiente 4;4131;Auxiliares de contabilidade, folha de pagamento e faturamento;91
CE;Gradiente 4;4223;Operadores de telemarketing (Ativo, receptivo e técnico);59
CE;Gradiente 4;3532;Técnicos em operações e serviços bancários;54
CE;Gradiente 4;4121;Datilógrafos, digitadores e operadores de transmissão de dados;22
CE;Gradiente 4;4231;Despachantes documentalistas e afins;7
CE;Gradiente 4;3515;Técnicos em secretariado, taquígrafos e estenotipistas;2
DF;0;2532;Não mapeado no estudo original;984
DF;0;1421;Não mapeado no estudo original;503
DF;0;2410;Não mapeado no estudo original;438
DF;0;2142;Não mapeado no estudo original;215
DF;0;5143;Não mapeado no estudo original;189
DF;0;5142;Não mapeado no estudo original;117
DF;0;1231;Não mapeado no estudo original;110
DF;0;2141;Não mapeado no estudo original;98
DF;0;1114;Não mapeado no estudo original;89
DF;0;7170;Não mapeado no estudo original;65
DF;Gradiente 1;5211;Caixas, bilheteiros e Operadores do comércio (Balconistas);386
DF;Gradiente 1;7823;Motoristas de veículos de pequeno e médio porte (Táxi);53
DF;Gradiente 1;4211;Caixas, bilheteiros e Operadores do comércio (Balconistas);26
DF;Gradiente 1;4122;Contínuos (Office-boys / Mensageiros);25
DF;Gradiente 1;2515;Psicólogos e psicanalistas;5
DF;Gradiente 1;4151;Auxiliares de serviços de documentação, informação e pesquisa;3
DF;Gradiente 1;2394;Programadores, avaliadores e orientadores de ensino;1
