sigla_uf,codigo_cbo_4,total_vinculos_ativos
AC,351105,224
AC,214125,42
AC,212405,166
AC,202105,17
AC,224135,11
AC,421205,36
AC,710215,24
AC,351605,206
AC,514215,308
AC,325110,67
AC,620115,128
AC,761410,10
AC,763125,97
AC,424125,29
AC,766205,37
AC,623010,22
AC,915305,15
AC,141305,20
AC,510310,47
AC,111510,14
AC,752305,28
AC,318510,8
AC,225320,13
AC,762125,6
AC,142205,95
AC,813125,18
AC,391125,35
AC,242210,18
AC,324105,1
AC,782720,2
AC,513210,10
AC,992120,4
AC,862205,43
AC,222120,68
AC,232120,23
AC,203405,29
AC,519945,2
AC,318015,5
AC,351415,15
AC,215105,3
AC,763010,33
AC,372115,26
AC,519105,33
AC,225150,10
AC,791110,3
AC,840120,4
AC,410235,45
AC,131215,10
AC,321205,6
AC,261305,18
AC,234410,4
AC,760205,1
AC,913115,23
AC,519305,26
AC,412120,8
AC,254310,6
AC,612115,1
AC,324125,1
AC,765110,2
AC,223530,5
AC,241335,6
AC,954120,5
AC,225103,17
AC,342505,11
AC,252540,1
AC,317120,3
AC,512120,1
AC,919105,1
AC,122615,2
AC,773215,5
AC,123205,7
AC,723330,3
AC,622730,6
AC,622505,1
AC,721210,8
AC,234644,2
AC,622315,1
AC,252505,2
AC,214405,5
AC,782140,3
AC,261910,1
AC,225110,3
AC,342405,1
AC,612315,4
AC,811505,1
AC,225105,8
AC,516125,2
AC,241020,1
AC,862130,1
AC,773205,1
AC,823115,1
AC,782735,1
AC,141815,1
AC,613010,1
AC,510305,1
AC,341215,1
AC,215115,1
AC,254420,2
AC,123210,2
AC,811745,1
AC,823255,1
AC,511515,1
AC,122725,1
AC,783210,268
AC,514325,2296
AC,414125,765
AC,414105,912
AC,232130,14
AC,623015,369
AC,341230,526
AC,422315,65
AC,410105,4267
AC,517330,3390
AC,513415,80
AC,342125,48
AC,322410,4
AC,715615,995
AC,515140,831
AC,214205,350
AC,233215,25
AC,232105,219
AC,515120,205
AC,223208,366
AC,232115,13003
AC,321210,73
AC,321105,183
AC,231315,40
AC,420135,69
AC,342535,83
AC,991315,52
